IDProducto,Descripcion_Articulo,Descripcion_Articulo_Largo,Cod_Familia,Val_MonedaNacional,Val_MonedaExtranjera,Codigo_Marca,Descripcion_Marca,Tipo_Presentacion,Descripcion_Tipo_Presentacion,Codigo_Empresa,Codigo_UnidadMedida,Descripcion_UnidadMedida
1001,Philips DVP642 Progressive-Scan,Philips DVP642 Progressive-Scan,111,255.075,89.5,NULL,Philips,NULL,Estandar,NULL,UNI,UNIDADES
1002,CyberHome CH-DVD 300S Progressive-Scan,CyberHome CH-DVD 300S Progressive-Scan,111,215.1465,75.49,NULL,CyberHome,NULL,Estandar,NULL,UNI,UNIDADES
1003,Toshiba SD-V392 DVD/VCR,Toshiba SD-V392 DVD/VCR,111,223.5825,78.45,NULL,Toshiba,NULL,Estandar,NULL,UNI,UNIDADES
1004,Panasonic DVD-S47S Progressive Scan,Panasonic DVD-S47S Progressive Scan,111,192.375,67.5,NULL,Panasonic,NULL,Estandar,NULL,UNI,UNIDADES
1005,"DVD Portatil Panasonic DVD-LS50 7""","DVD Portatil Panasonic DVD-LS50 7""",111,825.075,289.5,NULL,Panasonic,NULL,Portatil,NULL,UNI,UNIDADES
1006,Panasonic DVD-F87K 5-Disc HD-Compatible DVD/CD,Panasonic DVD-F87K 5-Disc HD-Compatible DVD/CD,111,230.7075,80.95,NULL,Panasonic,NULL,Estandar,NULL,UNI,UNIDADES
1007,"Initial IDM-1731 Portatil con  7"" LCD","Initial IDM-1731 Portatil con  7"" LCD",111,512.829,179.94,NULL,Initial IDM,NULL,Portatil,NULL,UNI,UNIDADES
1008,Sony DVP-NS575P/B Progressive Scan,Sony DVP-NS575P/B Progressive Scan,111,216.1725,75.85,NULL,Sony,NULL,Estandar,NULL,UNI,UNIDADES
1009,"Toshiba MD13P1 13"" TV / DVD","Toshiba MD13P1 13"" TV / DVD",112,438.7575,153.95,NULL,Toshiba,NULL,TV / DVD,NULL,UNI,UNIDADES
1010,"Casio EV-570 8"" TV portatil","Casio EV-570 8"" TV portatil",112,284.9715,99.99,NULL,Casio,NULL,Portatil,NULL,UNI,UNIDADES
1011,"Sony ACN-5503 5"" TV Portatil  con radio AM/FM","Sony ACN-5503 5"" TV Portatil  con radio AM/FM",112,227.9715,79.99,NULL,Sony,NULL,Portatil,NULL,UNI,UNIDADES
1012,"Sharp LC15B2UA AQUOS 15"" LCD Pantalla plana","Sharp LC15B2UA AQUOS 15"" LCD Pantalla plana",112,1125.75,395,NULL,Sharp,NULL,Pantalla plana,NULL,UNI,UNIDADES
1013,"Panasonic TH-42PX25U/P 42"" Alta definicion","Panasonic TH-42PX25U/P 42"" Alta definicion",112,1211.25,425,NULL,Panasonic,NULL,Alta definicion,NULL,UNI,UNIDADES
1014,"Sharp 32-C240 32""","Sharp 32-C240 32""",112,854.9715,299.99,NULL,Sharp,NULL,Estandar,NULL,UNI,UNIDADES
1015,Philips 6615LE 29'',Philips 6615LE 29'',112,534.375,187.5,NULL,Philips,NULL,Estandar,NULL,UNI,UNIDADES
1016,"Zenith L15V26D / 15"" / 1024x768","Zenith L15V26D / 15"" / 1024x768",112,911.9715,319.99,NULL,Zenith,NULL,Estandar,NULL,UNI,UNIDADES
1017,"RCA 32V430T 32""","RCA 32V430T 32""",112,968.9715,339.99,NULL,RCA,NULL,Estandar,NULL,UNI,UNIDADES
1018,"Daewoo DTQ13V1FC 13""","Daewoo DTQ13V1FC 13""",112,199.4715,69.99,NULL,Daewoo,NULL,Estandar,NULL,UNI,UNIDADES
1019,"Sharp LC-13S1UB 13"" AQUOS Pantalla plana LCD","Sharp LC-13S1UB 13"" AQUOS Pantalla plana LCD",112,1179.8145,413.97,NULL,Sharp,NULL,Pantalla plana,NULL,UNI,UNIDADES
1020,"Samsung TXN2726 27"" Stereo","Samsung TXN2726 27"" Stereo",112,769.4715,269.99,NULL,Samsung,NULL,Estereo,NULL,UNI,UNIDADES
1021,PANASONIC TX-26LX52F TVC-LCD 26'',PANASONIC TX-26LX52F TVC-LCD 26'',112,2849.9715,999.99,NULL,Panasonic,NULL,Estereo,NULL,UNI,UNIDADES
1022,SONY KDL-S40A11E LCD 40,SONY KDL-S40A11E LCD 40,112,7552.5,2650,NULL,Sony,NULL,Estereo,NULL,UNI,UNIDADES
1023,JVC LT-26A60SU TV TFT 26'',JVC LT-26A60SU TV TFT 26'',112,2564.9715,899.99,NULL,JVC,NULL,Estereo,NULL,UNI,UNIDADES
1024,Sony Trinitron 21'',Sony Trinitron 21'',112,855,300,NULL,Sony,NULL,Estereo,NULL,UNI,UNIDADES
1025,Sony Trinitron 26'',Sony Trinitron 26'',112,1054.5,370,NULL,Sony,NULL,Estereo,NULL,UNI,UNIDADES
1026,Panasonic SC-HT920 5-Disc DVD,Panasonic SC-HT920 5-Disc DVD,113,2164.575,759.5,NULL,Panasonic,NULL,Estandar,NULL,UNI,UNIDADES
1027,Philips LX3750W Progressive Scan,Philips LX3750W Progressive Scan,113,3134.544,1099.84,NULL,Philips,NULL,Estandar,NULL,UNI,UNIDADES
